var,lead,season_year,season,p_abaixo,p_normal,p_acima,obs_cat
precipitacao,3,2025,AMJ,0.4524,0.2706,0.2770,2
precipitacao,3,1980,MJJ,0.1754,0.3286,0.4960,1
precipitacao,3,1981,MJJ,0.1815,0.3687,0.4499,2
precipitacao,3,1982,MJJ,0.1979,0.3540,0.4481,2
precipitacao,3,1983,MJJ,0.1845,0.4329,0.3826,2
precipitacao,3,1984,MJJ,0.3059,0.3989,0.2952,1
precipitacao,3,1985,MJJ,0.2310,0.5020,0.2670,0
precipitacao,3,1986,MJJ,0.2776,0.3898,0.3326,1
precipitacao,3,1987,MJJ,0.1942,0.3460,0.4599,2
precipitacao,3,1988,MJJ,0.2504,0.3609,0.3887,2
precipitacao,3,1989,MJJ,0.3465,0.3717,0.2818,2
precipitacao,3,1990,MJJ,0.2185,0.3584,0.4231,2
precipitacao,3,1991,MJJ,0.2320,0.3551,0.4128,1
precipitacao,3,1992,MJJ,0.1809,0.3900,0.4291,2
precipitacao,3,1993,MJJ,0.2127,0.3473,0.4400,1
precipitacao,3,1994,MJJ,0.3025,0.3341,0.3634,2
precipitacao,3,1995,MJJ,0.2618,0.3187,0.4195,2
precipitacao,3,1996,MJJ,0.3141,0.3718,0.3141,1
precipitacao,3,1997,MJJ,0.2513,0.3593,0.3894,1
precipitacao,3,1998,MJJ,0.2302,0.2171,0.5527,1
precipitacao,3,1999,MJJ,0.3743,0.3458,0.2799,1
precipitacao,3,2000,MJJ,0.4056,0.3425,0.2519,0
precipitacao,3,2001,MJJ,0.3197,0.3804,0.2999,1
precipitacao,3,2002,MJJ,0.2981,0.3193,0.3826,0
precipitacao,3,2003,MJJ,0.3006,0.3459,0.3535,0
precipitacao,3,2004,MJJ,0.3086,0.3813,0.3101,2
precipitacao,3,2005,MJJ,0.3774,0.3103,0.3123,1
precipitacao,3,2006,MJJ,0.3170,0.4004,0.2826,0
precipitacao,3,2007,MJJ,0.2976,0.3417,0.3607,2
precipitacao,3,2008,MJJ,0.4563,0.3037,0.2400,0
precipitacao,3,2009,MJJ,0.4286,0.3133,0.2581,2
precipitacao,3,2010,MJJ,0.3100,0.3355,0.3545,0
precipitacao,3,2011,MJJ,0.4591,0.3188,0.2221,0
precipitacao,3,2012,MJJ,0.3212,0.3391,0.3397,2
precipitacao,3,2013,MJJ,0.3734,0.3481,0.2784,2
precipitacao,3,2014,MJJ,0.3606,0.3362,0.3032,0
precipitacao,3,2015,MJJ,0.3901,0.2619,0.3480,1
precipitacao,3,2016,MJJ,0.3652,0.3018,0.3330,2
precipitacao,3,2017,MJJ,0.4523,0.3044,0.2432,1
precipitacao,3,2018,MJJ,0.4711,0.2767,0.2522,0
precipitacao,3,2019,MJJ,0.4317,0.2614,0.3070,1
precipitacao,3,2020,MJJ,0.4714,0.3047,0.2239,0
precipitacao,3,2021,MJJ,0.4429,0.2770,0.2801,0
precipitacao,3,2022,MJJ,0.5497,0.2444,0.2059,0
precipitacao,3,2023,MJJ,0.5633,0.2310,0.2057,0
precipitacao,3,2024,MJJ,0.4375,0.2604,0.3020,0
precipitacao,3,2025,MJJ,0.5135,0.2843,0.2023,0
precipitacao,3,1979,JJA,0.1867,0.2980,0.5154,1
precipitacao,3,1980,JJA,0.2266,0.2939,0.4795,2
precipitacao,3,1981,JJA,0.1893,0.3333,0.4775,2
precipitacao,3,1982,JJA,0.2043,0.3630,0.4327,2
precipitacao,3,1983,JJA,0.3131,0.2509,0.4360,2
precipitacao,3,1984,JJA,0.3954,0.2700,0.3346,1
precipitacao,3,1985,JJA,0.2502,0.2740,0.4758,0
precipitacao,3,1986,JJA,0.3346,0.3217,0.3436,2
precipitacao,3,1987,JJA,0.2742,0.2804,0.4454,1
precipitacao,3,1988,JJA,0.3270,0.3466,0.3265,0
precipitacao,3,1989,JJA,0.2828,0.3674,0.3498,2
precipitacao,3,1990,JJA,0.2423,0.3230,0.4347,2
precipitacao,3,1991,JJA,0.2585,0.3360,0.4055,2
precipitacao,3,1992,JJA,0.2505,0.2741,0.4754,2
precipitacao,3,1993,JJA,0.2562,0.2753,0.4685,1
precipitacao,3,1994,JJA,0.2619,0.3579,0.3802,1
precipitacao,3,1995,JJA,0.3339,0.3465,0.3196,1
precipitacao,3,1996,JJA,0.3083,0.3503,0.3414,0
precipitacao,3,1997,JJA,0.2130,0.3188,0.4682,1
precipitacao,3,1998,JJA,0.2899,0.4224,0.2877,0
precipitacao,3,1999,JJA,0.2825,0.3542,0.3633,1
precipitacao,3,2000,JJA,0.3072,0.3885,0.3043,2
precipitacao,3,2001,JJA,0.3417,0.3308,0.3275,2
precipitacao,3,2002,JJA,0.2985,0.3299,0.3717,0
precipitacao,3,2003,JJA,0.4108,0.2946,0.2946,0
precipitacao,3,2004,JJA,0.3193,0.3428,0.3379,1
precipitacao,3,2005,JJA,0.3631,0.2964,0.3405,0
precipitacao,3,2006,JJA,0.3281,0.3157,0.3563,0
precipitacao,3,2007,JJA,0.3314,0.3643,0.3043,2
precipitacao,3,2008,JJA,0.3328,0.3637,0.3035,1
precipitacao,3,2009,JJA,0.3503,0.3754,0.2743,2
precipitacao,3,2010,JJA,0.4396,0.3251,0.2353,0
precipitacao,3,2011,JJA,0.4101,0.3445,0.2454,1
precipitacao,3,2012,JJA,0.2490,0.4009,0.3500,2
precipitacao,3,2013,JJA,0.3358,0.3724,0.2918,2
precipitacao,3,2014,JJA,0.3602,0.3112,0.3286,0
precipitacao,3,2015,JJA,0.3693,0.2936,0.3371,1
precipitacao,3,2016,JJA,0.4214,0.3545,0.2242,2
precipitacao,3,2017,JJA,0.3984,0.3238,0.2778,0
precipitacao,3,2018,JJA,0.3521,0.3422,0.3057,1
precipitacao,3,2019,JJA,0.4886,0.3000,0.2114,1
precipitacao,3,2020,JJA,0.5160,0.2750,0.2090,1
precipitacao,3,2021,JJA,0.2969,0.4026,0.3005,0
precipitacao,3,2022,JJA,0.4281,0.3216,0.2503,0
precipitacao,3,2023,JJA,0.3980,0.3710,0.2310,0
precipitacao,3,2024,JJA,0.4975,0.3391,0.1635,0
precipitacao,3,2025,JJA,0.4708,0.2897,0.2395,0
precipitacao,3,1979,JAS,0.2738,0.2598,0.4664,2
precipitacao,3,1980,JAS,0.1738,0.2935,0.5326,2
precipitacao,3,1981,JAS,0.2268,0.3422,0.4310,2
precipitacao,3,1982,JAS,0.2733,0.2883,0.4384,0
precipitacao,3,1983,JAS,0.1716,0.2435,0.5848,2
precipitacao,3,1984,JAS,0.2859,0.2654,0.4488,2
precipitacao,3,1985,JAS,0.1704,0.2763,0.5533,0
precipitacao,3,1986,JAS,0.2194,0.2928,0.4878,2
precipitacao,3,1987,JAS,0.2483,0.2666,0.4851,1
precipitacao,3,1988,JAS,0.2528,0.2810,0.4662,0
precipitacao,3,1989,JAS,0.2662,0.3047,0.4291,2
precipitacao,3,1990,JAS,0.2394,0.2897,0.4709,2
precipitacao,3,1991,JAS,0.2916,0.3013,0.4071,1
precipitacao,3,1992,JAS,0.1680,0.3493,0.4826,2
precipitacao,3,1993,JAS,0.2661,0.3161,0.4178,2
precipitacao,3,1994,JAS,0.3666,0.3053,0.3282,0
precipitacao,3,1995,JAS,0.3528,0.2867,0.3605,1
precipitacao,3,1996,JAS,0.2945,0.3200,0.3854,2
precipitacao,3,1997,JAS,0.2959,0.3223,0.3819,1
precipitacao,3,1998,JAS,0.5010,0.2578,0.2412,2
precipitacao,3,1999,JAS,0.3189,0.3551,0.3260,0
precipitacao,3,2000,JAS,0.3830,0.3367,0.2803,2
precipitacao,3,2001,JAS,0.3241,0.3549,0.3209,2
precipitacao,3,2002,JAS,0.2782,0.3520,0.3698,1
precipitacao,3,2003,JAS,0.3236,0.3388,0.3375,0
precipitacao,3,2004,JAS,0.2923,0.3754,0.3323,0
precipitacao,3,2005,JAS,0.3113,0.3227,0.3660,1
precipitacao,3,2006,JAS,0.2926,0.3612,0.3462,1
precipitacao,3,2007,JAS,0.3211,0.3721,0.3068,1
precipitacao,3,2008,JAS,0.3676,0.3387,0.2937,1
precipitacao,3,2009,JAS,0.4056,0.3515,0.2429,2
precipitacao,3,2010,JAS,0.4515,0.3081,0.2404,0
precipitacao,3,2011,JAS,0.4067,0.3534,0.2399,0
precipitacao,3,2012,JAS,0.2989,0.3873,0.3139,1
precipitacao,3,2013,JAS,0.4104,0.3399,0.2497,1
precipitacao,3,2014,JAS,0.3445,0.3792,0.2763,1
precipitacao,3,2015,JAS,0.3820,0.3760,0.2419,2
precipitacao,3,2016,JAS,0.4089,0.3506,0.2404,0
precipitacao,3,2017,JAS,0.4353,0.3541,0.2106,0
precipitacao,3,2018,JAS,0.3358,0.4077,0.2566,1
precipitacao,3,2019,JAS,0.4881,0.3106,0.2013,1
precipitacao,3,2020,JAS,0.4034,0.3669,0.2297,0
precipitacao,3,2021,JAS,0.4041,0.3970,0.1989,0
precipitacao,3,2022,JAS,0.4005,0.3687,0.2308,1
precipitacao,3,2023,JAS,0.4360,0.3689,0.1951,0
precipitacao,3,2024,JAS,0.5949,0.2401,0.1650,0
precipitacao,3,2025,JAS,0.3912,0.4021,0.2067,0
precipitacao,3,1979,ASO,0.2234,0.2874,0.4892,2
precipitacao,3,1980,ASO,0.2340,0.3666,0.3994,2
precipitacao,3,1981,ASO,0.2951,0.3189,0.3860,1
precipitacao,3,1982,ASO,0.2664,0.2440,0.4896,2
precipitacao,3,1983,ASO,0.1901,0.3025,0.5073,2
precipitacao,3,1984,ASO,0.2794,0.3710,0.3497,1
precipitacao,3,1985,ASO,0.2224,0.4223,0.3553,0
precipitacao,3,1986,ASO,0.2644,0.3941,0.3415,1
precipitacao,3,1987,ASO,0.2475,0.3146,0.4379,2
precipitacao,3,1988,ASO,0.2654,0.3798,0.3549,1
precipitacao,3,1989,ASO,0.2630,0.3013,0.4358,1
precipitacao,3,1990,ASO,0.2508,0.4119,0.3373,2
precipitacao,3,1991,ASO,0.3258,0.3153,0.3589,1
precipitacao,3,1992,ASO,0.1907,0.2570,0.5523,1
precipitacao,3,1993,ASO,0.2588,0.3154,0.4259,2
precipitacao,3,1994,ASO,0.3216,0.3153,0.3630,0
precipitacao,3,1995,ASO,0.2831,0.3687,0.3481,2
precipitacao,3,1996,ASO,0.3029,0.3928,0.3042,2
precipitacao,3,1997,ASO,0.3168,0.2729,0.4103,2
precipitacao,3,1998,ASO,0.3062,0.3280,0.3658,2
precipitacao,3,1999,ASO,0.3330,0.3510,0.3160,0
precipitacao,3,2000,ASO,0.4075,0.3092,0.2833,1
precipitacao,3,2001,ASO,0.3659,0.3458,0.2884,1
precipitacao,3,2002,ASO,0.2261,0.4902,0.2837,0
precipitacao,3,2003,ASO,0.3258,0.3480,0.3262,1
precipitacao,3,2004,ASO,0.2815,0.3380,0.3805,0
precipitacao,3,2005,ASO,0.3139,0.3374,0.3487,1
precipitacao,3,2006,ASO,0.3351,0.3358,0.3291,0
precipitacao,3,2007,ASO,0.3596,0.3844,0.2560,0
precipitacao,3,2008,ASO,0.4196,0.3765,0.2039,2
precipitacao,3,2009,ASO,0.4133,0.3453,0.2414,2
precipitacao,3,2010,ASO,0.4116,0.2883,0.3001,0
precipitacao,3,2011,ASO,0.4186,0.3374,0.2441,0
precipitacao,3,2012,ASO,0.3211,0.3586,0.3203,0
precipitacao,3,2013,ASO,0.3605,0.3140,0.3254,1
precipitacao,3,2014,ASO,0.3636,0.3327,0.3037,0
precipitacao,3,2015,ASO,0.3672,0.3307,0.3020,2
precipitacao,3,2016,ASO,0.3573,0.2615,0.3812,1
precipitacao,3,2017,ASO,0.4706,0.2614,0.2680,0
precipitacao,3,2018,ASO,0.4212,0.3381,0.2407,1
precipitacao,3,2019,ASO,0.4467,0.2683,0.2850,0
precipitacao,3,2020,ASO,0.4346,0.2909,0.2745,0
precipitacao,3,2021,ASO,0.4710,0.2988,0.2301,0
precipitacao,3,2022,ASO,0.4499,0.3553,0.1948,2
precipitacao,3,2023,ASO,0.5382,0.2408,0.2210,1
precipitacao,3,2024,ASO,0.4642,0.2780,0.2578,0
precipitacao,3,1979,SON,0.2232,0.3393,0.4376,2
precipitacao,3,1980,SON,0.2569,0.4009,0.3422,1
precipitacao,3,1981,SON,0.2818,0.3792,0.3389,1
precipitacao,3,1982,SON,0.2415,0.3367,0.4218,2
precipitacao,3,1983,SON,0.2287,0.4095,0.3617,2
precipitacao,3,1984,SON,0.3087,0.3827,0.3086,1
precipitacao,3,1985,SON,0.2517,0.4388,0.3095,0
precipitacao,3,1986,SON,0.2683,0.4496,0.2820,0
precipitacao,3,1987,SON,0.2810,0.3804,0.3387,2
precipitacao,3,1988,SON,0.3565,0.3817,0.2618,1
precipitacao,3,1989,SON,0.2224,0.2862,0.4915,1
precipitacao,3,1990,SON,0.2739,0.4494,0.2767,1
precipitacao,3,1991,SON,0.3955,0.2937,0.3108,1
precipitacao,3,1992,SON,0.2157,0.4685,0.3158,1
precipitacao,3,1993,SON,0.2434,0.3113,0.4453,2
precipitacao,3,1994,SON,0.3410,0.3269,0.3321,0
precipitacao,3,1995,SON,0.3003,0.3351,0.3646,2
precipitacao,3,1996,SON,0.3193,0.3612,0.3195,2
precipitacao,3,1997,SON,0.2666,0.3783,0.3552,2
precipitacao,3,1998,SON,0.3033,0.2470,0.4498,1
precipitacao,3,1999,SON,0.3509,0.3378,0.3112,0
precipitacao,3,2000,SON,0.3740,0.3221,0.3039,2
precipitacao,3,2001,SON,0.3687,0.3039,0.3274,0
precipitacao,3,2002,SON,0.2726,0.4685,0.2589,0
precipitacao,3,2003,SON,0.3495,0.3385,0.3121,0
precipitacao,3,2004,SON,0.2555,0.3316,0.4129,1
precipitacao,3,2005,SON,0.3338,0.3556,0.3106,1
precipitacao,3,2006,SON,0.3259,0.3091,0.3650,2
precipitacao,3,2007,SON,0.4225,0.3398,0.2377,0
precipitacao,3,2008,SON,0.4576,0.3031,0.2393,2
precipitacao,3,2009,SON,0.4332,0.3112,0.2556,2
precipitacao,3,2010,SON,0.3655,0.2444,0.3901,1
precipitacao,3,2011,SON,0.4026,0.3069,0.2905,0
precipitacao,3,2012,SON,0.3001,0.3620,0.3379,0
precipitacao,3,2013,SON,0.3266,0.3549,0.3185,2
precipitacao,3,2014,SON,0.3433,0.3120,0.3447,0
precipitacao,3,2015,SON,0.3424,0.2689,0.3888,2
precipitacao,3,2016,SON,0.3193,0.2811,0.3996,2
precipitacao,3,2017,SON,0.3970,0.2320,0.3710,0
